electorate_id,locality_suburb_id,postcode_id,state_id
20,712,1208,4
20,1586,1177,4
20,1676,1181,4
20,1741,1175,4
20,2730,1182,4
20,3583,1205,4
20,3702,1180,4
20,3704,1182,4
20,3897,1200,4
20,3972,1201,4
20,4135,1177,4
20,4413,1194,4
20,4443,1200,4
20,4584,1178,4
20,4694,1182,4
20,4709,1177,4
20,4996,1193,4
20,5078,1204,4
20,5519,1193,4
20,5756,1176,4
20,5797,1207,4
20,6106,1176,4
20,6118,1200,4
20,6122,1177,4
20,6310,1207,4
20,6412,1175,4
20,6522,1208,4
20,6542,1204,4
20,6617,1207,4
20,6836,1175,4
20,6856,1205,4
20,6865,1201,4
20,6982,1176,4
20,7037,1183,4
20,7052,1209,4
20,7285,1178,4
20,7317,1200,4
20,7323,1193,4
20,7374,1193,4
21,3367,757,7
21,3368,757,7
21,3370,757,7
21,3596,758,7
21,3889,1075,7
21,3942,758,7
21,4140,1078,7
21,4574,1076,7
21,4620,756,7
21,5120,755,7
21,5525,757,7
21,5532,740,7
21,6081,1078,7
21,6083,1077,7
21,6143,756,7
21,6144,756,7
21,6172,757,7
21,6839,753,7
21,6840,754,7
21,7423,756,7
22,396,1869,8
22,1779,1869,8
22,2258,1868,8
22,2312,1884,8
22,2582,1868,8
22,4128,1869,8
22,4420,1867,8
22,4619,1869,8
22,4653,1869,8
22,4740,1869,8
22,4836,1867,8
22,5075,1868,8
22,5329,1876,8
22,6003,1869,8
22,6419,1869,8
22,6743,1869,8
22,6828,1867,8
22,7018,1865,8
22,7395,1869,8
23,7,578,2
23,18,546,2
23,19,546,2
23,216,582,2
23,336,578,2
23,342,556,2
23,394,546,2
23,395,546,2
23,421,556,2
23,488,578,2
23,562,556,2
23,580,546,2
23,584,583,2
23,623,566,2
23,629,546,2
23,698,578,2
23,724,578,2
23,751,579,2
23,786,548,2
23,815,546,2
23,817,546,2
23,934,549,2
23,995,578,2
23,996,541,2
23,1092,579,2
23,1163,546,2
23,1220,574,2
23,1243,540,2
23,1258,541,2
23,1298,548,2
23,1353,578,2
23,1354,581,2
23,1358,556,2
23,1367,577,2
23,1407,578,2
23,1481,582,2
