id,locality_suburb
1227,Bittern
1228,Black Creek
1229,Black Duck Creek
1230,Black Forest
1231,Black Head
1232,Black Hill
1233,Black Hills
1234,Black Hollow
1235,Black Jack
1236,Black Mountain
1237,Black Point
1238,Black Range
1239,Black River
1240,Black River Beach
1241,Black Rock
1242,Black Snake
1243,Black Springs
1244,Blackall
1245,Blackalls Park
1246,Blackburn
1247,Blackburn North
1248,Blackburn South
1249,Blackbutt
1250,Blackbutt North
1251,Blackbutt South
1252,Blackett
1253,Blackfellows Caves
1254,Blackfellows Creek
1255,Blackford
1256,Blackheath
1257,Blackmans Bay
1258,Blackmans Flat
1259,Blackmans Point
1260,Blackmount
1261,Blackrock
1262,Blacks Beach
1263,Blacksmiths
1264,Blacksoil
1265,Blackstone
1266,Blackstone Heights
1267,Blackswamp
1268,Blacktown
1269,Blackville
1270,Blackwall
1271,Blackwarry
1272,Blackwater
1273,Blackwood
1274,Blackwood Creek
1275,Blackwood North
1276,Blair Athol
1277,Blairgowrie
1278,Blairmore
1279,Blairmount
1280,Blakebrook
1281,Blakehurst
1282,Blakeview
1283,Blakeville
1284,Blakiston
1285,Blakney Creek
1286,Blampied
1287,Blanche Harbor
1288,Blanchetown
1289,Blanchview
1290,Bland
1291,Blandford
1292,Blanket Flat
1293,Blantyre
1294,Blaxland
1295,Blaxlands Creek
1296,Blaxlands Flat
1297,Blaxlands Ridge
1298,Blayney
1299,Blenheim
1300,Blessington
1301,Bletchley
1302,Blewitt Springs
1303,Bli Bli
1304,Bligh Park
1305,Blighty
1306,Blind Bight
1307,Blinman
1308,Bloomfield
1309,Bloomsbury
1310,Blossom Park
1311,Blowering
1312,Blowhard
1313,Blue Bay
1314,Blue Haven
1315,Blue Hills
1316,Blue Knob
1317,Blue Mountain
1318,Blue Mountain Heights
1319,Blue Nobby
1320,Blue Rocks
1321,Blue Vale
1322,Bluewater
1323,Bluewater Beach
1324,Bluewater Park
1325,Blueys Beach
1326,Bluff
1327,Bluff Beach
1328,Bluff Point
1329,Blumont
1330,Blyth
1331,Blythdale
1332,Blythewood
1333,Bo Peep
1334,Boallia
1335,Boambee
1336,Boambee East
1337,Boambolo
1338,Boar Pocket
1339,Boat Harbour
1340,Boat Harbour Beach
1341,Boatman
1342,Boatswain Point
1343,Bobadah
1344,Bobalong
1345,Bobin
1346,Bobinawarrah
1347,Bobs Creek
1348,Bobs Farm
1349,Bobundara
1350,Bochara
1351,Bockelberg
1352,Boco
1353,Bocoble
1354,Bocobra
1355,Boconnoc Park
1356,Bodalla
1357,Bodallin
1358,Bodangora
1359,Boddington
1360,Boeill Creek
1361,Bogan
1362,Bogan Gate
1363,Bogandilla
1364,Bogangar
1365,Bogantungan
1366,Bogati
1367,Bogee
1368,Boggabilla
1369,Boggabri
1370,Bogie
1371,Bogong
1372,Bogong Peaks Wilderness
1373,Bohena Creek
1374,Bohle
1375,Bohle Plains
1376,Bohlevale
1377,Bohnock
1378,Boho
1379,Boho South
1380,Boigbeat
1381,Boigu Island
1382,Boilup
1383,Boinka
1384,Boisdale
1385,Bokal
1386,Bokarina
1387,Bolangum
1388,Bolaro
1389,Bolgart
1390,Bolinda
1391,Bolivar
1392,Bolivia
1393,Bollier
1394,Bollon
1395,Bolong
1396,Bolto
1397,Bolton
1398,Bolton Point
1399,Bolwarra
1400,Bolwarra Heights
1401,Bolwarrah
1402,Bomaderry
1403,Bombah Point
1404,Bombala
1405,Bombay
1406,Bombeeta
1407,Bombira
1408,Bombo
1409,Bombowlee
1410,Bombowlee Creek
1411,Bomen
1412,Bomera
1413,Bon Accord
1414,Bona Vista
1415,Bonalbo
1416,Bonang
1417,Bonbeach
1418,Bondi
1419,Bondi Beach
